seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,Dets,GT_Dets,IDs,GT_IDs
MOT17-09-FRCNN,0.6286067670013461,0.780347907147559,0.49053197504829366,0.6286067670013461,0.6278904653378932,0.6259219851621624,0.6232493538769638,0.617174304511167,0.6088312208361806,0.5994071552712277,0.5872127470866005,0.5751975544119534,0.5633192819914972,0.550107299577079,0.5388462311413255,0.5188384579951484,0.484553660109264,0.4345986334132637,0.36219853758223325,0.23977339201079687,0.10289816182969502,0.014235079949180551,0.48962422574184095,0.7355021216407355,0.7336630166019075,0.7287777386403663,0.723314606741573,0.7121925693354265,0.7009183850285913,0.6880481513327601,0.6708085106382978,0.651691065118627,0.6300232480903354,0.6091803278688525,0.5929892891918208,0.5645521198597386,0.5171561051004637,0.4518562342848691,0.35993349958437243,0.21831947374953456,0.08212986440304267,0.009668792429541247,0.5463539536653084,0.5372472164164586,0.5373671938491046,0.5375827371459752,0.5370273923513275,0.534833047337574,0.5288425348548302,0.5221857468759961,0.5140346386077969,0.5076826188207249,0.5036776252706091,0.4967626615696221,0.48964672061941134,0.47682638329595434,0.45400653150884285,0.41800014658113815,0.36447782931623607,0.26333555375971507,0.12891816862098524,0.020957891343332587,0.44070592832345445,0.7812206572769953,0.7800938967136151,0.7770892018779343,0.7737089201877935,0.7667605633802816,0.7596244131455399,0.7513615023474178,0.740093896713615,0.7273239436619718,0.7124882629107981,0.6978403755868544,0.6861971830985916,0.6651643192488262,0.6283568075117371,0.5737089201877934,0.48788732394366197,0.3303286384976526,0.13990610328638498,0.017652582159624414,0.6208846058808994,0.9262970385214874,0.924961033177466,0.9213983522600757,0.9173903362280116,0.9091516366065464,0.9006902694277443,0.8908928969049209,0.8775328434647072,0.8623914495657983,0.8448007125361835,0.8274326430639056,0.8136272545090181,0.7886884880872856,0.7450456468492541,0.6802493876642173,0.5784903139612558,0.3916722333556001,0.16588733021598753,0.020930750389668226,0.7361858219362701,0.5747010132557412,0.5750522349419867,0.5755837351819654,0.5756403633805812,0.5747478771158194,0.5707645108919824,0.5662890412798094,0.5604579955047665,0.5559098974433347,0.5538167058489919,0.5496139933529149,0.5456167103747191,0.5369598926285329,0.5207272940222718,0.4945732736978624,0.45341577808882294,0.36433564462677187,0.20857213643711495,0.03804303271774026,0.4944642700416699,0.8357987093358458,0.8361396541585054,0.8363565361848521,0.835184326905531,0.8332139510417158,0.8294259237526119,0.8243791285538177,0.8181830823592547,0.8110475513649056,0.8066654905054742,0.7996646950395785,0.7919131524937241,0.7739372246543882,0.7466933774714255,0.7025573308588731,0.6273188680643449,0.4584852845152808,0.24294211979330455,0.04554560774001126,0.7081816849891287,0.780347907147559,0.7813493476889369,0.7838796848158364,0.7865443449125872,0.791618972775439,0.796435514531761,0.8016005834360814,0.8080515618497858,0.8147405563643059,0.8218241209188079,0.828031523560242,0.8322832713719212,0.8388082036461485,0.8483015451918356,0.859797199062347,0.874250013982223,0.8968061658720474,0.9257266069716608,0.9617347001377928,0.8332700960124905,0.6478492290101933,0.6474541437166099,0.6463356250061737,0.6445951317279801,0.6403818303878953,0.6338151940317462,0.626378693185805,0.6167932382354878,0.6076592173655618,0.5990529161068263,0.5887792815030694,0.5796500671978768,0.5631766123028666,0.5341143086721918,0.4897044136348009,0.421691964331659,0.2949360522918012,0.13429980869152106,0.01923436764831794,0.5229422155288623,4160.0,4154.0,4138.0,4120.0,4083.0,4045.0,4001.0,3941.0,3873.0,3794.0,3716.0,3654.0,3542.0,3346.0,3055.0,2598.0,1759.0,745.0,94.0,3306.2105263157896,1165.0,1171.0,1187.0,1205.0,1242.0,1280.0,1324.0,1384.0,1452.0,1531.0,1609.0,1671.0,1783.0,1979.0,2270.0,2727.0,3566.0,4580.0,5231.0,2018.7894736842106,331.0,337.0,353.0,371.0,408.0,446.0,490.0,550.0,618.0,697.0,775.0,837.0,949.0,1145.0,1436.0,1893.0,2732.0,3746.0,4397.0,1184.7894736842106,4491,5325,76,26
MOT17-10-FRCNN,0.4725685826246513,0.728131026938545,0.34409184736538,0.4725685826246513,0.47150815900788123,0.4705076763344536,0.46936066688370376,0.4675314940082103,0.46447233002374083,0.46069803003378457,0.453836123922719,0.4455538462238101,0.43473684965200143,0.42009280740094795,0.39823186724125587,0.3676605261458702,0.3266574567265804,0.2641192336019025,0.18915673270826697,0.11042235174158979,0.03571217808004877,0.004664560220012667,0.3540784985569174,0.6254364460292697,0.6212211025489034,0.6188221367268423,0.6155947722070443,0.6111929307805597,0.6042231835178532,0.5952172645086031,0.5810390924199725,0.5641978839004861,0.5422569958412631,0.5117805568990534,0.4694425789120215,0.41572306696861855,0.3497008204305718,0.264374458249061,0.1708674479584738,0.08607167675965452,0.025352640704812784,0.0025200458190148913,0.4355281632201095,0.35706436153773596,0.35787571139938873,0.3577400683507973,0.3578643704651562,0.35763780449880456,0.3570444684059502,0.35658017253957214,0.3544808431380471,0.3518592244841626,0.34853608140571124,0.34483132360344726,0.33782325509118,0.32515458781617695,0.30513252414934655,0.26386425534624847,0.20940366322766457,0.14166211491605105,0.050304805644131964,0.008634018430121269,0.29176282391840497,0.655736428070722,0.6530103590622323,0.6514526053430952,0.6493496378222603,0.6464677934418569,0.6418724199704027,0.6358750681517252,0.6262948827790327,0.6146896175714619,0.5991899680660487,0.5769140898823896,0.5444349248383831,0.5004283822727627,0.4415452916893839,0.35633616325258977,0.24869538126022275,0.1350572474491783,0.04213723810265597,0.004283822727626762,0.48546164851337015,0.9312023006304613,0.9273310474505032,0.9251189027762415,0.9221325074659883,0.9180400398186042,0.9115142130295322,0.9029974560336246,0.8893927662869152,0.8729122884636655,0.8509014489547616,0.8192677801128194,0.773144563654463,0.71065147660657,0.6270324079194779,0.5060280942373632,0.35316889724587985,0.1917929432584891,0.0598385134387789,0.006083397854219666,0.6893974234335979,0.37355786343664565,0.37449822248873904,0.3745064453212644,0.3747758553667464,0.3747522808457867,0.37455153424744947,0.3742835954836,0.3728601504723728,0.3706089703792012,0.368349701437961,0.3661629532582801,0.3622363462561839,0.3544845428926826,0.3419275614435126,0.3128088274408544,0.2668869054178919,0.2006568829821897,0.08238343721459292,0.014561876028910003,0.3176238922323613,0.834426784753946,0.8340509284347372,0.833284825977638,0.8325113200237344,0.8311725841700296,0.8282368044199391,0.8252440563388513,0.8204056078285703,0.8135172589506715,0.8036104511514338,0.789205685356673,0.7675563271134688,0.7333961850294436,0.6828282694645265,0.5913094888683784,0.46571634173086046,0.31096637487451545,0.12398446677600537,0.0261067231360338,0.6709226570736555,0.728131026938545,0.7308776137641614,0.732328696127591,0.7341434950166253,0.7363958736544078,0.7397028590462419,0.7435929437716108,0.7492199500247904,0.7553131693835906,0.7625311898925673,0.7716503637367843,0.7833243554923629,0.7971498331274237,0.8132508659595317,0.83394185551202,0.8591858802658339,0.8885869820690451,0.9233887835885494,0.9600723559369421,0.7917256891215065,0.4838802631086619,0.48342170700183357,0.4827532491477855,0.4820571536146314,0.4808339862423749,0.47872434340941267,0.47617270135440815,0.4711788812123861,0.465063664606429,0.4569894128832241,0.446024718171115,0.4288621905626847,0.40338143780969443,0.36705562164260774,0.30663394523370013,0.2282054422306605,0.13832026354945626,0.04604026035042179,0.00608166131757613,0.3753516264973191,8419.0,8384.0,8364.0,8337.0,8300.0,8241.0,8164.0,8041.0,7892.0,7693.0,7407.0,6990.0,6425.0,5669.0,4575.0,3193.0,1734.0,541.0,55.0,6232.8421052631575,4420.0,4455.0,4475.0,4502.0,4539.0,4598.0,4675.0,4798.0,4947.0,5146.0,5432.0,5849.0,6414.0,7170.0,8264.0,9646.0,11105.0,12298.0,12784.0,6606.1578947368425,622.0,657.0,677.0,704.0,741.0,800.0,877.0,1000.0,1149.0,1348.0,1634.0,2051.0,2616.0,3372.0,4466.0,5848.0,7307.0,8500.0,8986.0,2808.157894736842,9041,12839,220,57
COMBINED,0.5236007330791772,0.7453996668677522,0.3902918120089295,0.5236007330791772,0.5226198432459526,0.5213307297783212,0.5196921662496806,0.5164972253701033,0.5116656396733316,0.505987178721115,0.49733952685506894,0.4878292848780924,0.47669426072304005,0.46247069711722705,0.4440238890559592,0.41697810311379363,0.3784750154546065,0.32128366782917056,0.2497278423834911,0.1585365189202707,0.06366503706351107,0.008803444978081248,0.3993274107626313,0.6580007323324789,0.6544524480634721,0.6513493800145879,0.6474868756172358,0.6411743385284523,0.6329726944873776,0.6228559725564488,0.6077914172669169,0.590286488384928,0.5684101143055075,0.5406600884654644,0.5056051681550446,0.45869575222053477,0.3974692473876813,0.3170447934845841,0.22354757768770508,0.12385207247455944,0.04228872081552121,0.004723111547849241,0.46782457862086047,0.4166526178614092,0.4173435386522296,0.41726566133387566,0.4171203430244421,0.41606372523777696,0.4136066675582959,0.41104691342901173,0.40695968706612956,0.4031557826027776,0.3997772250832095,0.3955889296344016,0.3899430355346371,0.37905460784119666,0.3603884785170531,0.3255792157292875,0.2789741490674347,0.2029342531714204,0.0958467616454972,0.016408810737784784,0.3454584423014669,0.6925236731997357,0.6902664611319093,0.6882845188284519,0.6858070909491302,0.6817330984364678,0.6763928650077076,0.6697313367099758,0.6596564633340674,0.6477097555604492,0.6324047566615283,0.6123651178154591,0.5859942743889012,0.5487227482933275,0.4963113851574543,0.42006166042721865,0.31881744109227045,0.19230345738824048,0.07079938339572782,0.008203038978198634,0.525162554039801,0.929574342299734,0.9265444871415903,0.9238841265149276,0.9205586757315992,0.9150901566656814,0.9079219627549512,0.8989801950931127,0.8854566952409104,0.8694206325746379,0.848876736624298,0.8219775347324859,0.7865799586166125,0.736550399054094,0.6661986402601241,0.5638486550399054,0.42794856636121786,0.2581288796925805,0.09503399349689624,0.011010937038131836,0.7049255565754469,0.44007789708379075,0.44094433572297026,0.441060422720367,0.4412093283551866,0.4406960763372301,0.4391520136978105,0.4374331054409065,0.43456296363150015,0.4316094370616822,0.4296069326328292,0.4274507411744594,0.4251893573881952,0.4193313060876642,0.40829072341894557,0.38558607296053454,0.350568827572801,0.28308200228732,0.15548653279840233,0.02937549165810493,0.38214281937003686,0.8348804938135457,0.8347429500216357,0.8343015222532301,0.833395384272992,0.8318456763881588,0.8286283059420506,0.8249595864606828,0.819674596905972,0.8127042391903934,0.8046194891343039,0.7926998577905197,0.7759178303020684,0.7478033649583645,0.7065323905284293,0.6358523666247299,0.5382156274180289,0.3852537387617489,0.19289850371059938,0.03837018053720079,0.6880682160534031,0.7453996668677522,0.7475995457089306,0.7493914053894659,0.7514744335709612,0.7546043783553018,0.7583813216409777,0.7626713298215531,0.7685702573359493,0.7748764732319808,0.7821148392625992,0.790486324350285,0.8001315594217039,0.8119540819863906,0.8262602472918986,0.8442941588601521,0.8659440600957733,0.8927259870245221,0.9247431213960284,0.9611210831509016,0.8059339091980595,0.5371608710336867,0.5367292124542344,0.5359081030688213,0.5348495947696847,0.5325827753066831,0.5289240010209844,0.5246818071758556,0.5181250697366243,0.511006784106069,0.5028131051867762,0.4921837680196917,0.478021323960684,0.45606565993053116,0.42292423076431324,0.36981528627118176,0.2982311592315148,0.1975473576319477,0.08237652350626662,0.01160181511953767,0.4248183393839519,12579.0,12538.0,12502.0,12457.0,12383.0,12286.0,12165.0,11982.0,11765.0,11487.0,11123.0,10644.0,9967.0,9015.0,7630.0,5791.0,3493.0,1286.0,149.0,9539.052631578947,5585.0,5626.0,5662.0,5707.0,5781.0,5878.0,5999.0,6182.0,6399.0,6677.0,7041.0,7520.0,8197.0,9149.0,10534.0,12373.0,14671.0,16878.0,18015.0,8624.947368421053,953.0,994.0,1030.0,1075.0,1149.0,1246.0,1367.0,1550.0,1767.0,2045.0,2409.0,2888.0,3565.0,4517.0,5902.0,7741.0,10039.0,12246.0,13383.0,3992.9473684210525,13532,18164,296,83
