seq,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,Dets,GT_Dets,IDs,GT_IDs
MOT17-09-FRCNN,0.6178403755868545,0.8201372547961755,0.6307981220657277,0.7370892018779343,0.8739701625473169,0.46153846153846156,0.5,0.038461538461538464,0.4852654882769932,0.7997147514262428,1.078095238095238,0.6304527982928193,3219.0387250749886,3925,1400,566,69,12,13,1,76.0,525,4491,5325,76,26
MOT17-10-FRCNN,0.4992600669834099,0.7617407624631047,0.5172521224394423,0.6107173455876626,0.8672713195442981,0.2807017543859649,0.543859649122807,0.17543859649122806,0.35375101787313684,0.7167276051188299,1.834862385321101,0.5170680261718287,5972.809318473204,7841,4998,1200,231,16,31,10,533.0,654,9041,12839,220,57
COMBINED,0.5340233428760185,0.7812211493751651,0.5505395287381634,0.647764809513323,0.869494531480934,0.3373493975903614,0.5301204819277109,0.13253012048192772,0.3923061023754785,0.7424280666330136,1.4978795589482612,0.5504031534213433,9191.848043548192,11766,6398,1766,300,28,44,11,609.0,1179,13532,18164,296,83
